Element;h_index;g_index;m_index;TC;NP;PY_start
KUNSTLICHE INTELLIGENZ;1;1;0,500;2;1;2021
KYBERNETIKA;1;1;0,200;1;1;2018
LAB ON A CHIP;1;1;0,125;15;1;2015
LABORATORY ANIMAL SCIENCE;1;1;0,040;16;1;1998
LABORATORY INVESTIGATION;1;1;0,063;47;1;2007
LABORATORY PHONOLOGY;1;1;0,111;10;1;2014
LABOUR ECONOMICS;1;1;0,091;8;1;2012
LAKE AND RESERVOIR MANAGEMENT;1;1;0,091;3;1;2012
LANCET HIV;1;1;0,167;51;1;2017
LANCET PUBLIC HEALTH;1;1;0,500;26;1;2021
LANDBAUFORSCHUNG VOLKENRODE;1;1;0,034;2;1;1994
LETTERS IN DRUG DESIGN & DISCOVERY;1;1;0,167;4;1;2017
LIEBIGS ANNALEN;1;1;0,036;13;1;1995
LIFE SCIENCES;1;1;0,038;46;1;1997
LIFE SCIENCES IN SPACE RESEARCH;1;1;0,333;6;1;2020
LINGUA;1;1;0,077;42;1;2010
LOGIC JOURNAL OF THE IGPL;1;1;0,091;1;1;2012
